swElapsed,time_delta_s,alt_prev_m,alt_m,speed_prev_kph,speed_kph,vs_ms,vs_comp_ms,te_ms,te_b21_ms
1.0018,1.0000,357.0675,356.3006,88.676,88.436,-0.79,-0.17,-0.93,-0.95
0.9987,1.0000,356.3006,355.4126,88.436,88.548,-0.93, 0.08,-0.81,-0.85
0.9988,1.0000,355.4126,354.6347,88.548,88.844,-0.65, 0.20,-0.57,-0.44
1.0018,1.0000,354.6347,354.3720,88.844,88.372,-0.16,-0.33,-0.59,-0.49
0.9982,1.0000,354.3720,354.4977,88.372,87.181, 0.22,-0.82,-0.69,-0.59
1.0029,1.0000,354.4977,354.9743,87.181,85.691, 0.54,-1.01,-0.53,-0.47
1.0012,1.0000,354.9743,355.5865,85.691,84.413, 0.61,-0.85,-0.24,-0.24
0.9980,1.0000,355.5865,356.0723,84.413,83.337, 0.42,-0.71,-0.22,-0.28
1.0009,1.0000,356.0723,356.2932,83.337,82.510, 0.14,-0.54,-0.32,-0.40
0.9975,1.0000,356.2932,356.2209,82.510,81.633,-0.13,-0.56,-0.64,-0.69
1.0005,1.0000,356.2209,356.0744,81.633,81.211,-0.13,-0.27,-0.42,-0.40
1.0029,1.0000,356.0744,355.8882,81.211,81.031,-0.27,-0.11,-0.30,-0.39
0.9973,1.0000,355.8882,355.1334,81.031,81.712,-0.93, 0.43,-0.32,-0.50
1.0017,1.0000,355.1334,353.9474,81.712,82.959,-1.23, 0.80,-0.38,-0.42
0.9982,1.0000,353.9474,352.7452,82.959,84.119,-1.16, 0.76,-0.45,-0.40
0.9995,1.0000,352.7452,351.7856,84.119,84.866,-0.88, 0.49,-0.47,-0.39
0.9994,1.0000,351.7856,351.1252,84.866,85.363,-0.58, 0.33,-0.33,-0.25
1.0015,1.0000,351.1252,350.7815,85.363,85.605,-0.26, 0.16,-0.18,-0.10
1.0014,1.0000,350.7815,350.7579,85.605,85.177, 0.05,-0.29,-0.31,-0.24
0.9970,1.0000,350.7579,350.7857,85.177,84.401,-0.03,-0.51,-0.49,-0.54
1.0008,1.0000,350.7857,350.5418,84.401,84.038,-0.33,-0.24,-0.48,-0.57
1.0000,1.0000,350.5418,349.9123,84.038,84.407,-0.74, 0.24,-0.39,-0.50
1.0032,1.0000,349.9123,348.8450,84.407,85.501,-1.20, 0.73,-0.34,-0.47
0.9978,1.0000,348.8450,347.2993,85.501,87.274,-1.65, 1.20,-0.35,-0.46
1.0021,1.0000,347.2993,345.4208,87.274,89.214,-1.92, 1.34,-0.54,-0.58
0.9981,1.0000,345.4208,343.4608,89.214,91.048,-1.96, 1.29,-0.67,-0.67
0.9987,1.0000,343.4608,341.4995,91.048,92.906,-1.98, 1.34,-0.62,-0.64
0.9999,1.0000,341.4995,339.5794,92.906,94.906,-1.89, 1.47,-0.45,-0.42
1.0006,1.0000,339.5794,337.8542,94.906,96.333,-1.66, 1.07,-0.66,-0.59
1.0009,1.0000,337.8542,336.6247,96.333,96.881,-0.99, 0.41,-0.81,-0.57
0.9984,1.0000,336.6247,336.4603,96.881,96.309, 0.11,-0.43,-0.60,-0.32
1.0054,1.0000,336.4603,337.1908,96.309,94.621, 0.91,-1.26,-0.53,-0.35
